name,origin,year,mpg,cylinders,engine,horsepower,weight,acceleration
volvo 245,European,76,20.0,4,130.0,102.0,3150,15.7
amc matador,American,76,15.5,8,304.0,120.0,3962,13.9
amc hornet sportabout (sw),American,71,18.0,6,258.0,110.0,2962,13.5
amc hornet,American,73,18.0,6,232.0,100.0,2945,16.0
vw dasher (diesel),European,80,43.4,4,90.0,48.0,2335,23.7
chevrolet monte carlo s,American,73,15.0,8,350.0,145.0,4082,13.0
volvo 145e (sw),European,72,18.0,4,121.0,112.0,2933,14.5
amc matador (sw),American,74,14.0,8,304.0,150.0,4257,15.5
ford mustang,American,71,18.0,6,250.0,88.0,3139,14.5
dodge aries wagon (sw),American,81,25.8,4,156.0,92.0,2620,14.4
ford ltd,American,73,13.0,8,351.0,158.0,4363,13.0
chevrolet nova,American,74,15.0,6,250.0,100.0,3336,17.0
ford torino,American,70,17.0,8,302.0,140.0,3449,10.5
chevrolet chevelle malibu classic,American,74,16.0,6,250.0,100.0,3781,17.0
chevrolet bel air,American,75,15.0,8,350.0,145.0,4440,14.0
ford futura,American,78,18.1,8,302.0,139.0,3205,11.2
chevroelt chevelle malibu,American,75,16.0,6,250.0,105.0,3897,18.5
datsun 280-zx,Japanese,80,32.7,6,168.0,132.0,2910,11.4
toyota mark ii,Japanese,73,20.0,6,156.0,122.0,2807,13.5
toyota corona,Japanese,75,24.0,4,134.0,96.0,2702,13.5
datsun 1200,Japanese,71,35.0,4,72.0,69.0,1613,18.0
chevrolet chevelle malibu classic,American,76,17.5,8,305.0,140.0,4215,13.0
audi fox,European,74,29.0,4,98.0,83.0,2219,16.5
buick skylark limited,American,79,28.4,4,151.0,90.0,2670,16.0
volkswagen jetta,European,81,33.0,4,105.0,74.0,2190,14.2
fiat 128,European,73,29.0,4,68.0,49.0,1867,19.5
ford granada gl,American,81,20.2,6,200.0,88.0,3060,17.1
ford gran torino,American,73,14.0,8,302.0,137.0,4042,14.5
plymouth champ,American,81,39.0,4,86.0,64.0,1875,16.4
ford gran torino,American,76,14.5,8,351.0,152.0,4215,12.8
pontiac phoenix,American,82,27.0,4,151.0,90.0,2735,18.0
ford escort 2h,American,81,29.9,4,98.0,65.0,2380,20.7
dodge d100,American,76,13.0,8,318.0,150.0,3755,14.0
subaru dl,Japanese,80,33.8,4,97.0,67.0,2145,18.0
mazda rx-4,Japanese,77,21.5,3,80.0,110.0,2720,13.5
chevrolet impala,American,73,11.0,8,400.0,150.0,4997,14.0
chevrolet citation,American,79,28.8,6,173.0,115.0,2595,11.3
oldsmobile omega brougham,American,79,26.8,6,173.0,115.0,2700,12.9
ford pinto,American,75,18.0,6,171.0,97.0,2984,14.5
ford granada ghia,American,76,18.0,6,250.0,78.0,3574,21.0
peugeot 504,European,76,19.0,4,120.0,88.0,3270,21.9
dodge colt hatchback custom,American,79,35.7,4,98.0,80.0,1915,14.4
chevrolet impala,American,72,13.0,8,350.0,165.0,4274,12.0
chevy c10,American,76,13.0,8,350.0,145.0,4055,12.0
dodge dart custom,American,73,15.0,8,318.0,150.0,3399,11.0
dodge aspen 6,American,79,20.6,6,225.0,110.0,3360,16.6
ford fairmont (man),American,78,25.1,4,140.0,88.0,2720,15.4
ford ranger,American,82,28.0,4,120.0,79.0,2625,18.6
datsun 210 mpg,Japanese,81,37.0,4,85.0,65.0,1975,19.4
ford gran torino,American,74,16.0,8,302.0,140.0,4141,14.0
toyota corona hardtop,Japanese,72,24.0,4,113.0,95.0,2278,15.5
buick century,American,75,17.0,6,231.0,110.0,3907,21.0
renault 12 (sw),European,72,26.0,4,96.0,69.0,2189,18.0
ford torino (sw),American,70,,8,351.0,153.0,4034,11.0
ford maverick,American,76,24.0,6,200.0,81.0,3012,17.6
honda civic,Japanese,74,24.0,4,120.0,97.0,2489,15.0
