Units,SqFt,Income,Expense,ValuePerSqFt,Boro
42,36500,1332615,342005,200.0,Manhattan
78,126420,6633257,1762295,242.76,Manhattan
500,554174,17310000,3543000,164.15,Manhattan
282,249076,11776313,2784670,271.23,Manhattan
239,219495,10004582,2783197,247.48,Manhattan
133,139719,5127687,1497788,191.37,Manhattan
109,105000,4365900,1273650,211.53,Manhattan
107,87479,3637377,1061120,222.33,Manhattan
247,255845,11246946,2440761,259.21,Manhattan
121,106129,4115683,1231096,205.62,Manhattan
154,126008,5239413,1528477,222.34,Manhattan
546,586224,24375194,7110897,222.02,Manhattan
182,208281,8077137,2416060,205.61,Manhattan
293,341489,13591262,4309591,205.46,Manhattan
117,267723,12202814,3394728,231.99,Manhattan
234,431824,18041607,5298480,207.68,Manhattan
304,257848,11752712,3269513,247.48,Manhattan
256,434398,19799861,5508167,231.54,Manhattan
174,237725,10051013,2498490,239.97,Manhattan
13,37236,1545666,439012,224.38,Manhattan
452,316810,14551083,3760535,256.13,Manhattan
162,231300,9779364,2430963,186.9,Manhattan
320,477747,19864720,5795071,222.23,Manhattan
382,648926,27436591,6820212,239.72,Manhattan
107,159544,7798511,1973559,273.77,Manhattan
350,346789,13511000,3172000,225.7,Manhattan
126,96902,3271412,995184,174.36,Manhattan
40,65396,1493000,594600,100.51,Manhattan
31,20308,854154,291217,184.71,Manhattan
347,422833,19420720,5019028,197.93,Manhattan
121,109468,4199192,1321279,198.94,Manhattan
20,39607,1644087,466967,224.38,Manhattan
90,73507,2563189,784320,179.1,Manhattan
408,548976,23210705,5769738,216.4,Manhattan
13,21069,461000,188000,88.99,Manhattan
12,65992,2374392,729872,102.85,Manhattan
102,71985,2988097,848703,224.38,Manhattan
160,215467,7752503,2383065,183.93,Manhattan
29,28550,848506,254952,155.83,Manhattan
145,186512,7885727,1960241,239.72,Manhattan
113,112213,4744366,1179359,239.72,Manhattan
221,214364,7055000,2020000,174.9,Manhattan
14,24362,835129,188806,196.58,Manhattan
156,142626,4812280,1059660,175.07,Manhattan
441,348157,14476368,4223144,222.33,Manhattan
11,31738,1126699,292942,194.18,Manhattan
19,28775,850301,314356,130.36,Manhattan
14,17122,763299,242276,229.06,Manhattan
14,22613,905425,264346,214.26,Manhattan
73,89994,3333378,691154,216.09,Manhattan
21,66930,2408141,740246,183.86,Manhattan
67,66575,2395369,736320,183.87,Manhattan
210,196837,6407044,1979777,152.5,Manhattan
9,20883,664288,244331,150.36,Manhattan
163,191740,6685974,2300880,169.26,Manhattan
22,37170,1254859,444182,161.88,Manhattan
18,23044,733030,269608,149.97,Manhattan
15,25825,871852,265223,174.37,Manhattan
15,20091,678272,206335,174.36,Manhattan
125,168889,5725337,2026668,162.51,Manhattan
49,37646,1137662,418624,140.59,Manhattan
128,115909,4958587,1407135,231.1,Manhattan
133,138016,5904324,1675514,231.1,Manhattan
11,54500,2220330,712315,209.03,Manhattan
8,17000,486540,137020,118.41,Manhattan
10,22964,826245,253982,172.97,Manhattan
27,59853,2246283,622471,122.95,Manhattan
75,118046,5339221,1300867,243.97,Manhattan
65,112500,4167000,864000,161.33,Manhattan
14,32039,1169744,300205,200.01,Manhattan
87,217318,9188205,2284012,239.72,Manhattan
26,50165,1831524,470046,158.76,Manhattan
15,15060,736133,186292,206.51,Manhattan
12,30062,1081631,332486,163.93,Manhattan
83,89377,3973701,1099337,242.1,Manhattan
80,66551,2767191,807264,222.33,Manhattan
10,28000,1059520,313320,153.61,Manhattan
38,87334,3675015,986001,183.89,Manhattan
1,2660,113954,30617,158.8,Manhattan
30,92487,3327682,1022906,183.87,Manhattan
163,182235,6570000,1027000,210.66,Manhattan
220,535060,24200764,5896361,255.08,Manhattan
311,314373,14329121,3986250,247.48,Manhattan
13,19882,635628,201802,118.95,Manhattan
11,15500,526690,164455,397.55,Manhattan
12,27928,1004849,308884,163.85,Manhattan
2,12688,480114,141979,183.95,Manhattan
20,24992,997181,317148,205.67,Manhattan
21,32300,1162154,357238,183.87,Manhattan
13,20500,793555,256455,170.49,Manhattan
9,20325,769098,227437,182.93,Manhattan
20,35900,1329736,275712,216.1,Manhattan
19,45510,1546430,482861,173.39,Manhattan
8,26658,762952,214863,138.83,Manhattan
18,20000,577200,163000,155.5,Manhattan
12,41204,1317292,418221,162.65,Manhattan
163,126500,3787410,1406680,141.0,Manhattan
11,28500,822510,232275,155.51,Manhattan
72,91412,4114454,1357468,226.95,Manhattan
47,132423,4432198,1064681,184.41,Manhattan
30,89678,2420409,486055,155.72,Manhattan
29,56292,1799655,571364,162.67,Manhattan
17,32939,872554,329390,119.28,Manhattan
24,98891,3458218,864555,194.06,Manhattan
